epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
93,16849,0.71919,0.93597,1.04291,0.66126,0.53029,0.58795,0.46043,0.76489,1.03029,0.91779,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,17031.2,0.71875,0.93711,1.03896,0.69079,0.51079,0.58872,0.4611,0.7662,1.02779,0.91973,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
95,17213.8,0.71425,0.93095,1.03801,0.70061,0.51051,0.59079,0.46228,0.76519,1.02892,0.9184,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,17398.2,0.71232,0.91371,1.03511,0.71002,0.51066,0.59267,0.464,0.76338,1.02252,0.9154,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
97,17579.8,0.70303,0.90392,1.03144,0.66158,0.53105,0.59236,0.46405,0.76493,1.0242,0.91727,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
98,17762.4,0.7098,0.9153,1.03776,0.64778,0.53845,0.59351,0.46397,0.76378,1.02608,0.91591,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
99,17943.4,0.69611,0.90515,1.02623,0.61367,0.56293,0.59327,0.46396,0.76544,1.02879,0.91732,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,18124.3,0.69988,0.8983,1.03014,0.64038,0.54868,0.59422,0.46446,0.76579,1.02772,0.91868,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,18308.1,0.70302,0.89911,1.0318,0.64478,0.54336,0.59241,0.46432,0.76662,1.02816,0.92083,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,18491.9,0.69689,0.89102,1.02776,0.61095,0.56637,0.5927,0.46427,0.76684,1.02903,0.92057,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,18675.5,0.69031,0.88805,1.02508,0.63516,0.54901,0.59197,0.46257,0.76776,1.03047,0.92318,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
